event_id,event_type,local_date,local_time,timezone,is_scheduled,notes
FOMC-2017-02-01,FOMC,2017-02-01,14:00,America/New_York,true,
FOMC-2017-03-15,FOMC,2017-03-15,14:00,America/New_York,true,
FOMC-2017-05-03,FOMC,2017-05-03,14:00,America/New_York,true,
FOMC-2017-06-14,FOMC,2017-06-14,14:00,America/New_York,true,
FOMC-2017-07-26,FOMC,2017-07-26,14:00,America/New_York,true,
FOMC-2017-09-20,FOMC,2017-09-20,14:00,America/New_York,true,
FOMC-2017-11-01,FOMC,2017-11-01,14:00,America/New_York,true,
FOMC-2017-12-13,FOMC,2017-12-13,14:00,America/New_York,true,
FOMC-2018-01-31,FOMC,2018-01-31,14:00,America/New_York,true,
FOMC-2018-03-21,FOMC,2018-03-21,14:00,America/New_York,true,
FOMC-2018-05-02,FOMC,2018-05-02,14:00,America/New_York,true,
FOMC-2018-06-13,FOMC,2018-06-13,14:00,America/New_York,true,
FOMC-2018-08-01,FOMC,2018-08-01,14:00,America/New_York,true,
FOMC-2018-09-26,FOMC,2018-09-26,14:00,America/New_York,true,
FOMC-2018-11-08,FOMC,2018-11-08,14:00,America/New_York,true,
FOMC-2018-12-19,FOMC,2018-12-19,14:00,America/New_York,true,
FOMC-2019-01-30,FOMC,2019-01-30,14:00,America/New_York,true,
FOMC-2019-03-20,FOMC,2019-03-20,14:00,America/New_York,true,
FOMC-2019-05-01,FOMC,2019-05-01,14:00,America/New_York,true,
FOMC-2019-06-19,FOMC,2019-06-19,14:00,America/New_York,true,
FOMC-2019-07-31,FOMC,2019-07-31,14:00,America/New_York,true,
FOMC-2019-09-18,FOMC,2019-09-18,14:00,America/New_York,true,
FOMC-2019-10-30,FOMC,2019-10-30,14:00,America/New_York,true,
FOMC-2019-12-11,FOMC,2019-12-11,14:00,America/New_York,true,
FOMC-2020-01-29,FOMC,2020-01-29,14:00,America/New_York,true,
FOMC-2020-03-03,FOMC,2020-03-03,10:00,America/New_York,false,Unscheduled emergency 50bp cut; press release states "For release at 10:00 a.m. EST"
FOMC-2020-03-15,FOMC,2020-03-15,17:00,America/New_York,false,Unscheduled Sunday 100bp cut; press release states "For release at 5:00 p.m. EDT"; replaced the cancelled Mar 17-18 meeting
FOMC-2020-04-29,FOMC,2020-04-29,14:00,America/New_York,true,
FOMC-2020-06-10,FOMC,2020-06-10,14:00,America/New_York,true,
FOMC-2020-07-29,FOMC,2020-07-29,14:00,America/New_York,true,
FOMC-2020-09-16,FOMC,2020-09-16,14:00,America/New_York,true,
FOMC-2020-11-05,FOMC,2020-11-05,14:00,America/New_York,true,
FOMC-2020-12-16,FOMC,2020-12-16,14:00,America/New_York,true,
FOMC-2021-01-27,FOMC,2021-01-27,14:00,America/New_York,true,
FOMC-2021-03-17,FOMC,2021-03-17,14:00,America/New_York,true,
FOMC-2021-04-28,FOMC,2021-04-28,14:00,America/New_York,true,
FOMC-2021-06-16,FOMC,2021-06-16,14:00,America/New_York,true,
FOMC-2021-07-28,FOMC,2021-07-28,14:00,America/New_York,true,
FOMC-2021-09-22,FOMC,2021-09-22,14:00,America/New_York,true,
FOMC-2021-11-03,FOMC,2021-11-03,14:00,America/New_York,true,
FOMC-2021-12-15,FOMC,2021-12-15,14:00,America/New_York,true,
FOMC-2022-01-26,FOMC,2022-01-26,14:00,America/New_York,true,
FOMC-2022-03-16,FOMC,2022-03-16,14:00,America/New_York,true,
FOMC-2022-05-04,FOMC,2022-05-04,14:00,America/New_York,true,
FOMC-2022-06-15,FOMC,2022-06-15,14:00,America/New_York,true,
FOMC-2022-07-27,FOMC,2022-07-27,14:00,America/New_York,true,
FOMC-2022-09-21,FOMC,2022-09-21,14:00,America/New_York,true,
FOMC-2022-11-02,FOMC,2022-11-02,14:00,America/New_York,true,
FOMC-2022-12-14,FOMC,2022-12-14,14:00,America/New_York,true,
FOMC-2023-02-01,FOMC,2023-02-01,14:00,America/New_York,true,
FOMC-2023-03-22,FOMC,2023-03-22,14:00,America/New_York,true,
FOMC-2023-05-03,FOMC,2023-05-03,14:00,America/New_York,true,
FOMC-2023-06-14,FOMC,2023-06-14,14:00,America/New_York,true,
FOMC-2023-07-26,FOMC,2023-07-26,14:00,America/New_York,true,
FOMC-2023-09-20,FOMC,2023-09-20,14:00,America/New_York,true,
FOMC-2023-11-01,FOMC,2023-11-01,14:00,America/New_York,true,
FOMC-2023-12-13,FOMC,2023-12-13,14:00,America/New_York,true,
FOMC-2024-01-31,FOMC,2024-01-31,14:00,America/New_York,true,
FOMC-2024-03-20,FOMC,2024-03-20,14:00,America/New_York,true,
FOMC-2024-05-01,FOMC,2024-05-01,14:00,America/New_York,true,
FOMC-2024-06-12,FOMC,2024-06-12,14:00,America/New_York,true,
FOMC-2024-07-31,FOMC,2024-07-31,14:00,America/New_York,true,
FOMC-2024-09-18,FOMC,2024-09-18,14:00,America/New_York,true,
FOMC-2024-11-07,FOMC,2024-11-07,14:00,America/New_York,true,Thursday announcement; meeting shifted for the US general election
FOMC-2024-12-18,FOMC,2024-12-18,14:00,America/New_York,true,
FOMC-2025-01-29,FOMC,2025-01-29,14:00,America/New_York,true,
FOMC-2025-03-19,FOMC,2025-03-19,14:00,America/New_York,true,
FOMC-2025-05-07,FOMC,2025-05-07,14:00,America/New_York,true,
FOMC-2025-06-18,FOMC,2025-06-18,14:00,America/New_York,true,
FOMC-2025-07-30,FOMC,2025-07-30,14:00,America/New_York,true,
FOMC-2025-09-17,FOMC,2025-09-17,14:00,America/New_York,true,
FOMC-2025-10-29,FOMC,2025-10-29,14:00,America/New_York,true,
FOMC-2025-12-10,FOMC,2025-12-10,14:00,America/New_York,true,
FOMC-2026-01-28,FOMC,2026-01-28,14:00,America/New_York,true,
FOMC-2026-03-18,FOMC,2026-03-18,14:00,America/New_York,true,
FOMC-2026-04-29,FOMC,2026-04-29,14:00,America/New_York,true,
FOMC-2026-06-17,FOMC,2026-06-17,14:00,America/New_York,true,
FOMC-2026-07-29,FOMC,2026-07-29,14:00,America/New_York,true,
FOMC-2026-09-16,FOMC,2026-09-16,14:00,America/New_York,true,
FOMC-2026-10-28,FOMC,2026-10-28,14:00,America/New_York,true,
FOMC-2026-12-09,FOMC,2026-12-09,14:00,America/New_York,true,
